time,lat,lng,alt,speed,zSpeed,battery,batteryPercent,throttle,satellites
0.0,51.515473,31.3064429,11.966,0.01,-2.44,11.5,98,41,10
0.9,51.515473,31.3064429,13.094,0.01,-2.02,11.5,98,39,10
0.9,51.515473,31.3064429,13.972,0.01,-1.47,11.5,98,36,10
0.9,51.515473,31.3064429,14.574,0.01,-0.94,11.5,97,35,10
0.9,51.515473,31.306443,14.918,0.01,-0.43,11.5,97,35,10
0.9,51.515473,31.306443,15.014,0.01,0.0,11.5,97,34,10
0.9,51.515473,31.3064431,14.998,0.04,0.0,11.5,97,36,10
1.0,51.5154731,31.306444,14.991,0.28,-0.03,11.5,97,38,10
1.5,51.5154737,31.3064472,15.005,0.7,-0.07,11.5,97,38,10
2.1,51.515475,31.3064538,15.038,1.29,-0.1,11.5,97,38,10
2.5,51.515477,31.306465,15.089,2.04,-0.13,11.5,97,38,10
3.0,51.5154799,31.306482,15.165,2.98,-0.18,11.5,96,39,10
3.7,51.5154842,31.3065061,15.27,4.04,-0.24,11.5,96,40,10
4.0,51.5154898,31.3065376,15.408,5.09,-0.29,11.5,96,41,10
4.5,51.5154967,31.3065762,15.572,6.16,-0.34,11.5,96,41,10
5.1,51.515505,31.3066223,15.762,7.2,-0.4,11.5,96,43,10
5.5,51.5155144,31.3066748,15.978,8.04,-0.44,11.5,96,44,10
6.0,51.5155248,31.3067332,16.212,8.7,-0.47,11.5,96,44,10
6.7,51.5155359,31.3067951,16.456,9.17,-0.49,11.5,95,44,10
7.0,51.5155476,31.3068599,16.709,9.45,-0.5,11.5,95,44,10
7.5,51.5155595,31.3069262,16.967,9.52,-0.51,11.5,95,44,10
8.1,51.5155716,31.3069934,17.225,9.57,-0.5,11.5,95,43,10
8.5,51.5155837,31.3070604,17.482,9.65,-0.5,11.5,95,43,10
9.0,51.5155957,31.3071278,17.741,9.71,-0.51,11.5,95,43,10
9.7,51.5156079,31.3071956,18.003,9.75,-0.51,11.5,95,43,10
10.0,51.5156201,31.3072642,18.269,9.78,-0.51,11.5,94,43,10
10.5,51.5156324,31.3073324,18.533,9.8,-0.51,11.5,94,43,10
11.2,51.5156446,31.3074007,18.798,9.84,-0.51,11.5,94,43,10
11.5,51.5156568,31.3074686,19.061,9.87,-0.51,11.5,94,44,10
12.0,51.5156691,31.3075376,19.329,9.9,-0.52,11.5,94,44,10
12.6,51.5156815,31.3076064,19.596,9.92,-0.52,11.5,94,44,10
13.0,51.5156938,31.3076753,19.864,9.93,-0.52,11.5,93,44,10
13.5,51.5157062,31.3077442,20.132,9.93,-0.52,11.5,93,44,10
14.1,51.5157187,31.3078134,20.402,9.94,-0.53,11.5,93,44,10
14.5,51.5157311,31.3078829,20.673,9.93,-0.53,11.5,93,44,10
15.0,51.5157435,31.3079519,20.942,9.94,-0.53,11.5,93,44,10
15.6,51.5157559,31.3080208,21.211,9.94,-0.53,11.5,93,44,10
16.0,51.5157682,31.3080897,21.481,9.95,-0.53,11.5,93,44,10
16.5,51.5157807,31.3081591,21.752,9.96,-0.53,11.5,92,44,10
17.1,51.5157931,31.3082283,22.02,9.97,-0.53,11.5,92,44,10
17.5,51.5158056,31.3082976,22.29,9.98,-0.53,11.5,92,44,10
18.0,51.515818,31.3083669,22.561,9.97,-0.54,11.5,92,44,10
18.6,51.5158306,31.3084366,22.833,9.96,-0.54,11.5,92,44,10
19.0,51.515843,31.3085058,23.104,9.96,-0.54,11.5,92,44,10
19.5,51.5158554,31.3085748,23.374,9.96,-0.54,11.5,92,44,10
20.1,51.5158678,31.3086441,23.645,9.97,-0.54,11.5,91,44,10
20.5,51.5158803,31.3087137,23.919,9.96,-0.54,11.5,91,44,10
21.0,51.5158927,31.3087826,24.19,9.97,-0.53,11.5,91,44,10
21.6,51.5159051,31.3088517,24.46,9.99,-0.54,11.5,91,44,10
22.0,51.5159175,31.308921,24.73,10.0,-0.54,11.5,91,44,10
22.5,51.5159301,31.308991,25.002,9.99,-0.54,11.5,91,44,10
23.3,51.5159425,31.3090603,25.273,9.98,-0.54,11.5,91,44,10
23.5,51.515955,31.3091298,25.545,9.98,-0.54,11.5,90,44,10
24.0,51.5159674,31.3091989,25.815,9.97,-0.54,11.5,90,44,10
24.6,51.5159799,31.3092688,26.089,9.97,-0.54,11.5,90,44,10
25.0,51.5159924,31.3093381,26.362,9.96,-0.54,11.5,90,44,10
25.5,51.5160048,31.3094074,26.634,9.96,-0.54,11.5,90,44,10
26.3,51.5160172,31.3094762,26.905,9.95,-0.54,11.5,90,44,10
26.5,51.5160296,31.3095455,27.177,9.97,-0.54,11.5,90,44,10
27.0,51.5160421,31.3096146,27.448,9.99,-0.54,11.5,89,44,10
